Laufende Nummer;Regionalschlьssel;Gde. Schl. Nr.;Vgem-Schl. Nr.;Bezeichnung;Spalte001;Spalte002;Spalte003;Spalte004;Spalte005;Spalte006;Spalte007;Spalte008;Spalte009;Spalte010;Spalte011;Spalte012;Spalte013;Spalte014;Spalte015;Spalte016;Spalte017;Spalte018;Spalte019;Spalte020;Spalte021;Spalte022;Spalte023;Spalte024;Spalte025;Spalte026;Spalte027;Spalte028;Spalte029;Spalte030;Spalte031;Spalte032;Spalte033;Spalte034;Spalte035;Spalte036;Spalte037;Spalte038;Spalte039;Spalte040;Spalte041;Spalte042;Spalte043;Spalte044;Spalte045;Spalte046;Spalte047;Spalte048;Spalte049;Spalte050;Spalte051;Spalte052;Spalte053;Spalte054;Spalte055;Spalte056;Spalte057;Spalte058;Spalte059;Spalte060;Spalte061;Spalte062;Spalte063;Spalte064;Spalte065;Spalte066;Spalte067;Spalte068;Spalte069;Spalte070;Spalte071;Spalte072;Spalte073;Spalte074;Spalte075;Spalte076;Spalte077;Spalte078;Spalte079;Spalte080;Spalte081;Spalte082;Spalte083;Spalte084;Spalte085;Spalte086;Spalte087;Spalte088;Spalte089;Spalte090;Spalte091;Spalte092;Spalte093;Spalte094;Spalte095;Spalte096;Spalte097;Spalte098;Spalte099;Spalte100;Spalte101;Spalte102;Spalte103;Spalte104;Spalte105;Spalte106;Spalte107;Spalte108;Spalte109;Spalte110;Spalte111;Spalte112;Spalte113;Spalte114;Spalte115;Spalte116;Spalte117;Spalte118;Spalte119;Spalte120;Spalte121;Spalte122;Spalte123;Spalte124;Spalte125;Spalte126;Spalte127;Spalte128;Spalte129;Spalte130;Spalte131;Spalte132;Spalte133;Spalte134;Spalte135;Spalte136;Spalte137;Spalte138;Spalte139;Spalte140;Spalte141;Spalte142;Spalte143;Spalte144;Spalte145
1;9;;;Bayern;70550,0706;433996,84;35925,46;51062,93;330319,71;308501,95;3306304,58;2572072,11;123452,17;201873,26;839919,91;10902643;12397614;12843514;6352172;17,80183943;3,596659809;154,5376638;182,0482106;683324;1029193;398254;1052975;855986;3487824;2764622;2571336;113935;118228;124129;133536;-15308;934671;1008835;841964;844875;163960;583845;519673;301781;3316;626482;43505;378;233260;15538;426;330995;25788;181;257442;5184918;2810330;2374588;602524;29358;1720339;1123454;1058454;1253285;3378891;65,16768443;5108702;3305363;64,70064216;73528;4173;17435;27334;30968;13906;4057;97873;93700;3355911;1244456;3654276;387725;122119;110904;7205;1247337;61578380;12443210;99,2;12186958;97,1;12161581;96,9;892404;129,5;12867;143965;25393;62157;23074;18354;2002;2718;53352;12077;18503;22772;2993729;6260635;835535;2591615;2833485;28680221;550052;34208802;88128741;66006;53827;12179;71775;1443;126162;115604;94272;49888;121794;160309;6329671;221314523,1;34964,61713;38144277,99;6026,265502;6563660;523,4722973;182309024;27775,51305;16816903,89;83754,913;1675157,537;7239682,15;7765189,753;343,8762537;386,2684035;375,309842;1319,544656;831,8277546;1315,376611;159,1377863;162,9400812
2;91;;;Oberbayern;17530,1326;118149,34;8835,43;15345,23;73204,82;65203,37;808895,05;614536,49;51820,99;62225,91;212373;3598126;4328218;4588944;2267060;27,53705679;6,023864787;205,2538116;261,7746702;262237;372498;135830;367848;325800;1319884;918364;886483;44704;46066;38878;41827;4239;374838;392193;331260;328561;63632;228566;202207;113251;1012;222476;15107;126;79194;5480;161;128195;9952;64;84351;1963877;1059104;904773;314680;7846;507518;441185;546080;461238;1222894;62,26937838;1827004;1087473;59,52220137;135421;836;4153;7205;9260;3129;663;25246;24410;990305;375345;437368;75902;52271;46163;1780;348977;21569723;4417796;99,6;4313588;97,2;4313180;97,2;324075;136,8;4695;41802;8699;25118;8264;6127;765;1372;22493;5963;8562;7968;890912;2235606;428434;974178;832994;9377201;212504;15757115;37332360;23653;19533;4120;25362;399;37862;34512;27194;18022;44441;55796;2290852;91990982,69;40155,79474;17776700,16;7759,864086;2303275;525,5828812;73993095;32125,16742;7887762,715;20895,171;673286,614;3889952,641;3278182,507;321,8993276;400,9845334;391,3818267;1734,922887;1142,759067;1681,587486;60,16681561;60,62435511
3;92;;;Niederbayern;10328,6128;61576,78;5462,39;4929,67;44313,03;42615,08;533394,86;350444,25;14625,9;18114,4;114225,38;1027374;1172834;1212119;605726;17,98225379;3,349578883;99,46875717;117,3554815;61126;97977;39756;102396;75457;319827;275525;240055;9838;10314;12571;13444;-3130;81738;92645;70855;75133;17512;45946;41201;26997;393;61795;4255;42;25421;1665;37;27051;2133;18;25727;445321;246347;198974;40531;4543;183513;92024;58643;106597;309072;69,40431734;478453;342305;71,54412241;-33233;531;3227;4690;5330;2365;531;16674;16143;507315;162920;1236064;58607;10474;9835;806;128044;5543902;1131561;95,6;1085604;91,7;1084063;91,6;72886;121,9;1567;21259;3554;6427;3117;2624;267;226;5387;634;1767;2986;346955;562675;50537;184401;327737;2931067;80362;2973858;11668315;6273;5266;1007;7345;150;12651;11573;9996;4139;10059;13509;581315;17894849,2;30783,39489;2631227,459;4526,336769;605591;509,163567;14963963;24709,68525;1285717,764;15155,895;127217,686;535502,731;605426,7;345,1213022;352,1662647;341,8218562;1068,769344;751,5971609;1132,550505;209,5399734;210,405081
4;93;;;Oberpfalz;9690,2029;52031,86;4454,82;4667,9;45487,14;43587,44;404176,5;412033,58;15222,35;30946,14;104682,38;969868;1070965;1092339;542114;12,62759468;1,99577017;100,0875111;112,7261563;55144;86449;35131;91995;72023;289712;248202;213683;9076;9512;11278;12202;-2690;67039;75959;60279;63821;12138;40764;38428;24757;338;54013;3714;34;20623;1360;34;25227;1991;12;23692;434682;239954;194728;33294;2490;176358;86004;62422;107404;293565;67,53557773;436669;295707;67,71879845;-2142;239;2293;3565;3823;1959;403;12282;12043;453400;166472;288172;35489;8719;7529;726;132917;5970799;1070980;99,6;1029626;95,7;1021918;95;72169;125,6;1218;17017;2651;5546;2283;1909;177;197;4750;997;1526;2227;292490;534787;51934;200270;282583;2617807;38709;1940903;4928292;5512;4599;913;6438;158;12671;11621;9673;4663;10373;13539;526853;16604117,81;31515,6558;2538815,532;4818,83093;561381;519,2587317;14234954;25357,02847;1184870,682;8890,258;116730,826;483395,013;574076,611;323,2467283;339,540956;364,667005;1091,027079;697,7033814;1120,775124;206,9375013;210,0205272
5;94;;;Oberfranken;7231,4699;43626,63;3272,29;5284,22;34835,53;32772,29;311698,71;298811,65;7233,95;18384,01;86127,42;1036576;1063454;1059358;519304;2,197812799;-0,385160054;143,3423633;146,4927601;49662;79958;32814;85712;64052;267616;247717;231827;8129;8325;12308;13350;-5025;63423;70358;59821;62032;8326;45557;41356;23079;317;48354;3423;27;17905;1145;36;27577;2140;17;22201;412007;217268;194739;20652;2471;160500;86068;59956;103010;280613;68,10879427;419476;288235;68,71310874;-7622;445;1910;2276;2100;1387;584;8702;8257;238749;93040;248858;27587;7522;7536;823;118227;4506800;1052369;99,6;1032993;97,8;1023529;96,9;64350;126,3;961;11285;1391;3143;1103;932;83;88;2694;888;614;1192;288037;539572;49152;213299;277121;2633489;36296;1919399;4720644;5625;4286;1339;5761;159;13113;12447;10285;3962;8958;13611;520341;15962686,91;30677,35755;2430401,579;4670,786232;559779;522,5201763;13503287;24122,53229;1071731,59;6490,176;115179,971;406452,888;541246,61;347,5462508;356,8694363;347,877429;1015,163627;633,2913482;1059,062138;243,0177827;248,9806365
6;95;;;Mittelfranken;7244,8939;48854,81;4310,72;6552,62;40075,46;36820,58;344198,16;249949,26;9713,74;20834,62;98865,09;1521484;1682297;1738686;855081;14,2756677;3,351905163;210,0078814;239,9879087;92788;137520;52740;142410;116847;469329;374932;352120;15519;16168;17898;19266;-3098;134020;140093;125781;114640;25453;86383;77573;41343;396;84214;5918;42;27642;1834;57;47324;3732;27;36781;741565;398920;342645;82564;3535;239997;151522;164957;181554;462400;62,3546149;699955;421086;60,15901022;41314;441;1973;2750;2622;1641;511;9938;9497;333068;114224;535797;66424;15561;14601;1009;186479;8942191;1692980;99,5;1688464;99,2;1685133;99;86089;127,3;1259;13789;3112;7977;2768;2317;171;280;6334;1602;2011;2721;386127;864489;102787;399337;362365;3878183;49465;3863298;7737022;8841;7256;1585;9673;206;19146;17503;13919;8456;20242;26970;863200;28980391,98;33573,20664;4843821,257;5611,470409;911169;532,3598389;24299833;26668,85397;2104297,438;9569,285;264976,71;776917,563;1046735,918;389,3736191;446,0669747;391,5377311;1221,80417;654,7710591;1174,650678;226,8300058;240,1861689
7;96;;;Unterfranken;8531,401;44926,77;4491,87;7386,66;47187,74;44764,55;365585,29;352458,57;7599,63;23503,57;103041,23;1202711;1300647;1306048;645602;8,592005893;0,415254869;140,9746349;153,0871838;64509;101550;40831;108415;82903;332277;302851;272712;10668;11088;13484;14575;-3487;83691;92621;80420;82141;10480;60043;51583;29538;374;60558;4400;47;25186;1647;44;32900;2596;17;25131;497604;271507;226097;32921;3684;186538;107573;68895;130909;358765;72,09849599;517929;379227;73,21988149;-20462;1096;1704;2179;2136;1225;855;9195;8099;128046;35174;375668;67579;10656;10180;834;134408;5961469;1294948;99,8;1289243;99,4;1288487;99,3;75021;119,9;1125;13347;2182;4641;1961;1556;215;190;4155;738;1295;2122;344350;644433;56746;261124;326563;3123521;42923;2811590;7044879;6252;4843;1409;6491;173;14197;12770;10542;4322;11822;16025;650710;20618763,77;31686,56356;3271720,519;5027,924143;692002;525,00918;17436963;25197,85058;1323297,423;8646,651;149343,886;454293,298;707743,681;341,8682329;350,1222172;356,7310735;1017,741815;582,2925569;1049,344933;210,2817429;219,2016655
8;97;;;Schwaben;9993,3575;64830,65;5097,94;6896,63;45215,99;42738,64;538356,01;293838,31;17235,61;27864,61;120605,41;1546504;1779199;1846020;917285;19,36729553;3,75567882;154,7531561;184,7246572;97858;153241;61152;154199;118904;489179;397031;374456;16001;16755;17712;18872;-2117;129922;144966;113548;118547;26419;76586;67325;42816;486;95072;6688;60;37289;2407;57;42721;3244;26;39559;689862;377230;312632;77882;4789;265915;159078;97501;162573;451582;65,45975862;729216;491330;67,37784141;-39748;585;2175;4669;5697;2200;510;15836;15251;705028;297281;532349;56137;16916;15060;1227;198285;9083497;1782576;99,1;1747440;97,2;1745271;97,1;197814;129,3;2042;25466;3804;9305;3578;2889;324;365;7539;1255;2728;3556;444858;879073;95945;359006;424122;4118953;89793;4942639;14697229;9850;8044;1806;10705;198;16522;15178;12663;6324;15899;20859;896400;29262730,72;32644,72415;4651591,481;5189,191746;930463;521,2914424;23876929;25661,34172;1959226,274;14107,477;228421,844;693168,016;1011777,726;364,6413262;374,8763515;343,5387827;1070,165162;650,2290594;1110,644818;192,5277624;194,9087511
9;9171;;;Insgesamt;569,3464;4358,32;527,39;319,91;2425,06;2233,6;30769,85;16788,38;1092,51;653,22;7449,15;94216;106023;108485;53369;15,14498599;2,322137649;165,4799333;190,541846;5701;9061;3578;8437;6144;27830;24583;23151;960;948;1156;1298;-350;8087;8465;7415;7118;1347;4338;3795;2534;34;5991;410;3;2429;149;4;2547;203;1;2465;44265;27378;16887;5117;439;22279;6754;5041;9750;33530;75,7483339;42615;31921;74,90554969;1609;34;136;308;351;141;21;991;957;48967;16836;28886;1906;875;853;56;16266;892048;102937;96,6;95522;89,7;95484;89,6;4738;129;103;1212;262;561;199;165;10;24;403;36;146;221;28645;50587;4387;18988;27212;253067;2118;115279;241849;569;471;98;629;13;1300;1220;1093;584;1262;1329;54061;1770053,381;32741,78023;281989,499;5216,135458;56417;523,7812294;1481089;26252,53027;159414,697;863,678;10414,299;83014,392;64967,004;316,6439361;306,4751688;322,3026701;1479,390638;1320,473733;1671,866097;127,2986865;124,6424045
10;9172;;;Insgesamt;839,9173;3248,07;170,47;304,54;2192,9;2022,63;18864,97;44402,05;1549,78;13258,95;5864,17;90689;100827;103907;50897;14,57508628;3,054737322;107,9733784;123,7105915;5215;7835;3115;8466;6742;26479;21711;24344;863;916;1126;1218;-302;8122;8360;7302;7141;1219;3338;3021;2091;28;4713;313;4;2049;131;4;2192;185;1;1338;33485;17108;16377;5083;278;9951;9270;3590;10396;21539;64,32432432;33686;21756;64,58469394;-217;44;301;400;244;35;0;1024;980;34303;13847;2675;2352;1006;875;54;5306;214955;101827;99,7;95640;93,7;95640;93,7;8264;136,7;112;1333;82;346;126;84;15;27;478;143;179;156;22054;52136;8118;24327;19691;224163;16611;661207;2737508;681;565;116;756;13;1346;1191;991;483;1019;1186;48513;1479935,037;30505,94762;216659,945;4466,018284;48169;470,4509273;1160337;24088,87459;93511,59;577,152;12531,758;31065,096;48618,532;325,3063387;339,0034642;336,7747326;903,9739958;563,9074967;957,3528928;203,5063022;217,0602082
