"Laufende
Nummer";"Regional-
schlьssel";"Gemeinde-
schlьsselnr.";"Vgem-
schlьssel";Bezeichnung;Spalte001;Spalte002;Spalte003;Spalte004;Spalte005;Spalte006;Spalte007;Spalte008;Spalte009;Spalte010;Spalte011;Spalte012;Spalte013;Spalte014;Spalte015;Spalte016;Spalte017;Spalte018;Spalte019;Spalte020;Spalte021;Spalte022;Spalte023;Spalte024;Spalte025;Spalte026;Spalte027;Spalte028;Spalte029;Spalte030;Spalte031;Spalte032;Spalte033;Spalte034;Spalte035;Spalte036;Spalte037;Spalte038;Spalte039;Spalte040;Spalte041;Spalte042;Spalte043;Spalte044;Spalte045;Spalte046;Spalte047;Spalte048;Spalte049;Spalte050;Spalte051;Spalte052;Spalte053;Spalte054;Spalte055;Spalte056;Spalte057;Spalte058;Spalte059;Spalte060;Spalte061;Spalte062;Spalte063;Spalte064;Spalte065;Spalte066;Spalte067;Spalte068;Spalte069;Spalte070;Spalte071;Spalte072;Spalte073;Spalte074;Spalte075;Spalte076;Spalte077;Spalte078;Spalte079;Spalte080;Spalte081;Spalte082;Spalte083;Spalte084;Spalte085;Spalte086;Spalte087;Spalte088;Spalte089;Spalte090;Spalte091;Spalte092;Spalte093;Spalte094;Spalte095;Spalte096;Spalte097;Spalte098;Spalte099;Spalte100;Spalte101;Spalte102;Spalte103;Spalte104;Spalte105;Spalte106;Spalte107;Spalte108;Spalte109;Spalte110;Spalte111;Spalte112;Spalte113;Spalte114;Spalte115;Spalte116;Spalte117;Spalte118;Spalte119;Spalte120;Spalte121;Spalte122;Spalte123;Spalte124;Spalte125;Spalte126;Spalte127;Spalte128;Spalte129;Spalte130;Spalte131;Spalte132;Spalte133;Spalte134;Spalte135;Spalte136;Spalte137;Spalte138;Spalte139;Spalte140;Spalte141;Spalte142;Spalte143;Spalte144;Spalte145
1;9;;;Bayern;70542,0294;215137,49;90294,05;55574,38;331743,21;309892,61;3279542,15;2488634,01;121263,09;195523,18;847597,21;10902643;12397614;12997204;6438503;19,21149762;4,83633383;154,5552772;184,2476606;727985;1028745;375803;1050962;868775;3428485;2882626;2633823;125689;126191;129552;133902;-7711;1020454;964554;924388;888865;75689;621583;561739;323195;3304;634353;44332;378;220629;15287;430;317405;25091;183;266091;5460683;2962795;2497888;739706;30864;1781137;1175713;1146772;1326161;3583402;65,62186452;5364832;3490799;65,06818853;92603;3653;16155;24504;26817;14073;4960;90162;86509;3185933;1208640;3456293;317507;114263;102795;7408;1294760;66744806;12785620;99,2;12540784;97,3;12524008;97,19848292;914535;130,7;13300;153479;27246;74990;25166;19732;2345;3089;61056;16030;20934;24092;3040234;6371236;864276;2629792;2877168;29130237;557336;37278748;94368996;65042;53140;11902;70267;1362;119441;110300;94703;48003;124370;165449;6655170;269501407,4;40495,04482;49987669,95;7511,10339;6981736;550,1082293;219636646;31458,74407;18712850,29;84824,223;1755453,623;7923046,376;8889702,778;348,3972369;392,6090421;373,702651;1442,057817;897,3056053;1437,44769;166,1031146;180,0782273
2;91;;;Oberbayern;17529,2508;61730,45;22071,67;16503,05;73824,8;65732,03;793033,34;591688,13;50505,33;59783;214795,53;3598126;4328218;4649534;2298601;29,22098893;7,423748064;205,2638815;265,2443202;276628;376859;129579;371142;327821;1297599;966880;903026;48541;48523;40858;42105;6418;400992;365430;361716;353911;11519;243367;217084;120979;1007;226798;15661;128;76787;5485;165;125892;9858;65;88644;2085720;1129245;956475;377284;8452;533487;463734;590861;489179;1306746;62,65203383;1935487;1158228;59,84168326;148518;640;4022;6601;8358;3267;791;23679;23039;947744;369503;388233;65516;46029;39503;1864;364063;23362016;4592735;99,6;4492196;97,5;4491930;97,46265519;327960;142,1;4903;45654;9276;32930;8647;6338;845;1464;24087;6823;9270;7994;906476;2279039;440674;990995;847370;9544280;220606;17308307;40302586;23077;19124;3953;24870;378;36305;33163;27886;18018;45897;58370;2445595;113819957,9;46540,80412;23667741,62;9677,702817;2498092;552,677789;90562600;36252,70807;8425993,866;21403,427;701842,132;3918819,853;3754498,724;328,50186;406,5735957;384,853256;1810,938771;1161,731117;1769,539203;65,22267643;69,76259681
3;92;;;Niederbayern;10326,0526;27893,7;11983,23;5381,26;44693,86;42925,63;530844,36;341311,59;14613,41;17472,46;115805,95;1027374;1172834;1230037;616309;19,72631194;4,877331319;99,49351349;119,119799;65053;97163;37296;101705;78324;316007;285878;248611;10836;10947;12925;13366;-2419;94793;93115;85111;80000;13115;49249;44512;28954;392;61784;4291;41;23667;1627;37;25505;2028;18;25872;469040;259692;209348;54564;4814;189740;97374;63676;113434;327418;69,8059867;502161;360782;71,8458821;-33364;526;3015;4182;4584;2425;653;15385;14859;472177;152288;1233212;47060;10571;9820;825;132101;5939807;1165777;95,9;1126845;92,7;1125422;92,58175811;75024;121,5;1653;23073;3846;7594;3643;3010;348;285;6856;1200;2165;3491;353606;574978;52967;188130;333881;2987045;76569;3149179;12008341;6216;5169;1047;7077;155;13177;11880;10852;3817;10029;13847;615864;22101816,07;35887,49476;3573886,296;5803,044659;648356;541,3984124;18197024;28066,40796;1432779,721;15289,879;132764,656;589460,946;692621,2;347,658358;355,5329182;348,8595861;1170,265716;782,1030237;1222,642081;216,2739741;224,6538328
4;93;;;Oberpfalz;9690,2094;22794,59;10038,34;5067,67;45560,19;43669,85;402513,28;402817,14;14741,17;30523,39;105467,52;969868;1070965;1104407;550060;13,87188772;3,12260438;100,0874078;113,9714206;58218;85315;32529;91869;73748;284864;257063;220801;9818;9982;11776;11945;-1963;77018;74024;68773;66189;7835;43539;41475;26436;338;53541;3734;35;18941;1302;34;23658;1884;12;24308;460896;253945;206951;44787;2613;183983;92236;68174;113886;313652;68,05266264;457642;310563;67,86155991;3089;195;2091;3254;3237;1995;529;11301;11106;433771;165331;270941;25367;8196;7407;738;138915;6556313;1091835;99,6;1051262;95,9;1046949;95,53125539;74470;125,6;1265;17641;2701;5911;2559;2063;254;242;5040;996;1652;2392;297266;544391;53935;203377;287079;2660317;38955;2087363;5332174;5304;4378;926;6072;156;12518;11626;10068;4644;10498;14195;549336;20199188,37;36770,18869;3356347,322;6109,825903;592023;546,7716329;17046985;28794,46407;1332889,954;8992,638;120350,858;544676,149;656895,098;327,045215;341,4006609;364,1919711;1209,889008;763,3173911;1241,022904;203,8553242;214,8468731
5;94;;;Oberfranken;7231,1549;22983,74;9119,02;6044,95;34776,09;32771,78;310601,31;289186,9;7170,73;18012,98;86581,55;1036576;1063454;1066840;524731;2,919612262;0,31839647;143,3487066;147,5339331;53313;79082;30936;85258;65496;260975;255087;236693;8920;9073;12856;13403;-4330;72153;72678;65014;63823;8855;47771;44603;24382;317;48870;3447;27;16323;1108;36;25700;2027;17;22684;427111;225633;201478;26982;2347;164480;89793;61174;109317;292507;68,48500741;434469;300019;69,05417878;-7512;339;1645;1945;1824;1247;729;7729;7390;228851;89625;228381;22272;7545;7106;817;121392;4943392;1055994;99,6;1035987;97,7;1028934;97,04416028;66196;125,8;944;11455;1495;3532;1357;1176;83;98;2952;816;703;1433;290268;544172;50433;214329;279410;2653126;36433;2065636;5061097;5674;4275;1399;5740;141;11499;11049;9481;3602;9117;13210;532247;18721974,54;35175,35005;3049625,375;5729,718298;576276;545,739165;15749869;27330,42674;1245650,623;6655,757;119353,525;497170,08;619819,074;355,0360037;359,7089123;351,815039;1169,830405;745,5460546;1213,61635;240,0585004;268,3374003
6;95;;;Mittelfranken;7243,6909;23938,99;11363,48;7060,14;40300,4;36973,66;342799,79;243189,33;9616,68;20380,89;99643,72;1521484;1682297;1759643;866773;15,65307292;4,59764239;210,0426716;242,9208042;99771;138308;50025;141381;118828;462434;389774;359122;17539;17371;18659;19456;-2085;141011;132404;127840;121288;11116;93419;85156;44445;394;86899;6113;42;26613;1838;57;44816;3612;28;37600;778373;418739;359634;100254;3849;246740;157876;177184;192709;489747;62,91932017;732517;444294;60,65306334;45453;367;1710;2452;2213;1503;682;8927;8560;304079;108358;469499;53915;15505;14432;1027;192032;9634178;1735432;99,5;1730600;99,3;1729195;99,17372198;85113;125;1276;14876;3155;9004;2858;2304;168;386;8295;2720;2746;2829;391636;878784;107083;404184;367517;3932493;49900;4093265;8272936;8842;7244;1598;9470;192;17730;16650;13563;8121;20895;27847;903255;34596392,54;38301,91091;6109919,953;6764,335601;962175;560,9712015;28825337;29958,51794;2390445,454;9552,234;277142,321;897671,854;1199291,738;392,8149361;450,5326495;395,2035322;1362,078734;730,4029429;1303,464834;251,6560315;282,4798959
7;96;;;Unterfranken;8530,0464;23619,5;11049,34;8098,85;47103,22;44739,12;364849,13;339111,59;7543,5;22303,34;103411,81;1202711;1300647;1313375;650316;9,201212926;0,978589886;140,9969461;153,9703753;69160;100385;38201;106405;83051;322978;312113;281082;11794;11968;13988;14648;-2680;94841;91344;89041;84343;7001;63532;56264;31785;370;61310;4349;45;23391;1599;44;30648;2485;17;26191;515915;279814;236101;41497;3819;189107;111498;74094;137392;374955;72,67766977;536270;395454;73,7415854;-20499;986;1561;1911;1876;1183;929;8446;7460;119621;31806;335424;57812;10249;9624;839;138081;6445467;1306935;99,8;1301354;99,4;1301013;99,39462327;77541;121,5;1176;13846;2357;5259;2180;1769;230;181;4932;1318;1308;2306;348449;653214;58938;263581;330695;3161964;42245;2959758;7142693;6159;4808;1351;6399;155;12506;11477;9914;3915;12146;16314;666047;24440133,94;36694,30827;4140566,966;6216,628805;714005;549,7213302;20410843;28586,41466;1561190,079;8665,497;157700,492;581973,462;809731,568;346,5286737;355,8519972;355,0394255;1190,252613;718,1110239;1229,236293;217,9139859;239,0264546
8;97;;;Schwaben;9991,6244;32176,52;14668,98;7418,47;45484,65;43080,53;534900,95;281329,32;17072,28;27047,11;121891,13;1546504;1779199;1873368;931713;21,13567117;5,292775007;154,7801057;187,4939199;105842;151633;57237;153202;121507;483628;415831;384488;18241;18327;18490;18979;-652;139646;135559;126893;119311;16248;80706;72645;46214;486;95151;6737;60;34907;2328;57;41186;3197;26;40792;723628;395727;327901;94338;4970;273600;163202;111609;170244;478377;66,10813844;766286;521459;68,0501797;-43082;600;2111;4159;4725;2453;647;14695;14095;679690;291729;530603;45565;16168;14903;1298;208176;9863634;1836912;99,2;1802540;97,3;1800565;97,23449272;208231;125,4;2083;26934;4416;10760;3922;3072;417;433;8894;2157;3090;3647;452533;896658;100246;365196;431216;4191012;92628;5615240;16249169;9770;8142;1628;10639;185;15706;14455;12939;5886;15788;21666;942826;35621944,12;37782,09778;6089582,416;6458,861355;990809;544,0206317;28843989;29111,55329;2323900,588;14264,791;246299,639;893274,032;1156845,376;367,9500612;391,6002482;356,7129265;1245,24538;762,2070111;1266,404801;203,3511308;216,6623216
9;9171;;;Insgesamt;569,2853;1978,9;1131,79;339,51;2458,4;2274,59;30679,14;16327,8;1093,85;654,09;7520,02;94216;106023;110338;54467;17,11174323;4,069871632;165,4973739;193,8168596;6117;9107;3309;8637;6401;27332;25546;23889;1061;1034;1127;1232;-198;8363;7941;7318;6831;1110;4612;4214;2750;34;6106;432;3;2406;155;4;2339;183;1;2573;45989;28308;17681;6199;538;23553;7140;5266;9492;35030;76,17038857;44364;33449;75,39671806;1581;25;159;281;300;146;28;939;914;45468;16059;29557;1275;878;842;57;16016;942985;105954;97,2;98093;90;98060;89,9740336;4684;130;110;1428;275;685;231;172;29;30;480;79;170;231;29118;51624;4626;19323;27675;257511;2205;123928;267515;547;453;94;621;15;1424;1322;1215;560;1300;1413;56310;2099061,983;37276,89545;355843,95;6319,374001;59315;551,9471456;1726313;29104,15578;199756,385;923,169;10892,481;113261,279;74507,927;319,7864093;309,4046978;323,7670109;1816,495571;1612,336189;2039,753074;127,8506111;144,4282616
10;9172;;;Insgesamt;839,8317;1605,4;562,35;333,38;2210,72;2040,08;18721,63;41061,13;1539,06;13103,16;5924,61;90689;100827;105052;51603;15,83764293;4,19034584;107,9849493;125,08722;5486;7809;2883;8274;6809;26233;22762;24796;882;957;1208;1160;-203;8402;7748;7454;6942;806;3670;3395;2321;27;4699;334;4;2066;137;4;2154;175;1;1384;35196;18051;17145;6025;307;10527;10093;3523;10746;22963;65,24320946;35361;23155;65,48174543;-192;25;297;371;231;40;0;964;939;34221;14354;2434;2076;989;934;57;5807;243775;104150;99,8;99687;95,5;99687;95,54420334;9135;138,9;110;1409;144;508;133;93;14;26;396;91;155;150;22272;52836;8334;24593;19909;226861;16646;743689;2888290;602;495;107;667;12;1281;1153;1013;508;1068;1260;50427;1785090,5;35399,49828;288066,146;5712,537847;50500;490,4055314;1369678;27122,33663;109080,127;589,676;13404,735;38760,261;55566,581;331,5189098;342,9329598;338,5086016;1040,344559;675,0631283;1101,146876;198,4313972;204,5236311
