rs_land;rs_rb;rs_kreis;rs_vb;rs_gem;rs_gemeindename
09;;;;;Bayern
09;1;;;;Oberbayern
09;1;61;;;Ingolstadt
09;1;61;0000;;Ingolstadt
09;1;61;0000;000;Ingolstadt
09;1;62;;;München, Landeshauptstadt
09;1;62;0000;;München, Landeshauptstadt
09;1;62;0000;000;München, Landeshauptstadt
09;1;63;;;Rosenheim
09;1;63;0000;;Rosenheim
09;1;63;0000;000;Rosenheim
09;1;71;;;Altötting
09;1;71;0111;;Altötting, St
09;1;71;0111;111;Altötting, St
09;1;71;0112;;Burghausen, St
09;1;71;0112;112;Burghausen, St
09;1;71;0113;;Burgkirchen a.d.Alz
09;1;71;0113;113;Burgkirchen a.d.Alz
09;1;71;0117;;Garching a.d.Alz
09;1;71;0117;117;Garching a.d.Alz
09;1;71;0118;;Haiming
09;1;71;0118;118;Haiming
09;1;71;0125;;Neuötting, St
09;1;71;0125;125;Neuötting, St
09;1;71;0127;;Pleiskirchen
09;1;71;0127;127;Pleiskirchen
09;1;71;0131;;Teising
09;1;71;0131;131;Teising
09;1;71;0132;;Töging a.Inn, St
09;1;71;0132;132;Töging a.Inn, St
09;1;71;0133;;Tüßling, M
09;1;71;0133;133;Tüßling, M
09;1;71;0137;;Winhöring
09;1;71;0137;137;Winhöring
09;1;71;5101;;Emmerting (VGem)
09;1;71;5101;114;Emmerting
09;1;71;5101;124;Mehring
09;1;71;5102;;Kirchweidach (VGem)
09;1;71;5102;116;Feichten a.d.Alz
09;1;71;5102;119;Halsbach
09;1;71;5102;122;Kirchweidach
09;1;71;5102;134;Tyrlaching
09;1;71;5103;;Marktl (VGem)
09;1;71;5103;123;Marktl, M
09;1;71;5103;130;Stammham
09;1;71;5104;;Reischach (VGem)
09;1;71;5104;115;Erlbach
09;1;71;5104;126;Perach
09;1;71;5104;129;Reischach
09;1;71;5106;;Unterneukirchen (VGem)
09;1;71;5106;121;Kastl
09;1;71;5106;135;Unterneukirchen
09;1;72;;;Berchtesgadener Land
09;1;72;0111;;Ainring
09;1;72;0111;111;Ainring
09;1;72;0112;;Anger
09;1;72;0112;112;Anger
09;1;72;0114;;Bad Reichenhall, GKSt
09;1;72;0114;114;Bad Reichenhall, GKSt
09;1;72;0115;;Bayerisch Gmain
09;1;72;0115;115;Bayerisch Gmain
09;1;72;0116;;Berchtesgaden, M
09;1;72;0116;116;Berchtesgaden, M
09;1;72;0117;;Bischofswiesen
09;1;72;0117;117;Bischofswiesen
09;1;72;0118;;Freilassing, St
09;1;72;0118;118;Freilassing, St
09;1;72;0122;;Laufen, St
09;1;72;0122;122;Laufen, St
09;1;72;0124;;Marktschellenberg, M
09;1;72;0124;124;Marktschellenberg, M
09;1;72;0128;;Piding
09;1;72;0128;128;Piding
09;1;72;0129;;Ramsau b.Berchtesgaden
09;1;72;0129;129;Ramsau b.Berchtesgaden
09;1;72;0130;;Saaldorf-Surheim
09;1;72;0130;130;Saaldorf-Surheim
09;1;72;0131;;Schneizlreuth
09;1;72;0131;131;Schneizlreuth
09;1;72;0132;;Schönau a.Königssee
09;1;72;0132;132;Schönau a.Königssee
09;1;72;0134;;Teisendorf, M
09;1;72;0134;134;Teisendorf, M
09;1;72;9444;;Gdefr. Geb. (Lkr Berchtesgadener Land)
09;1;72;9444;444;Gdefr. Geb. (Lkr Berchtesgadener Land)
09;1;73;;;Bad Tölz-Wolfratshausen
09;1;73;0111;;Bad Heilbrunn
09;1;73;0111;111;Bad Heilbrunn
09;1;73;0112;;Bad Tölz, St
09;1;73;0112;112;Bad Tölz, St
09;1;73;0118;;Dietramszell
09;1;73;0118;118;Dietramszell
09;1;73;0120;;Egling
09;1;73;0120;120;Egling
09;1;73;0123;;Eurasburg
09;1;73;0123;123;Eurasburg
09;1;73;0124;;Gaißach
09;1;73;0124;124;Gaißach
09;1;73;0126;;Geretsried, St
09;1;73;0126;126;Geretsried, St
09;1;73;0130;;Icking
09;1;73;0130;130;Icking
09;1;73;0131;;Jachenau
09;1;73;0131;131;Jachenau
09;1;73;0134;;Königsdorf
09;1;73;0134;134;Königsdorf
09;1;73;0135;;Lenggries
09;1;73;0135;135;Lenggries
